# date=2019-03-22;scenarioFile=scenario_jonquera.ini;landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 18:00:00;EndDate=2019-07-23 18:00:00;hoursOfSimulation=24
generation individual p0 p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 runtime maxRSS outputs cpu csw exit error
0 40 14 4 7 62 83 9 292 31 66 0.037218 0 0 0 0 0 0 0 0 0 0 0 50.26 67764 35976 99% 5249 0 1.000241 
0 41 11 11 4 44 64 28 326 42 66 0.270570 0 0 0 0 0 0 0 0 0 0 0 846.02 317036 37240 99% 84002 0 1.002556 
0 42 7 8 12 49 68 7 128 33 83 1.430464 0 0 0 0 0 0 0 0 0 0 0 18.22 41184 35720 99% 2067 0 1.007740 
0 43 9 6 0 26 63 3 4 48 84 1.717526 0 0 0 0 0 0 0 0 0 0 0 11.35 31160 35696 99% 1415 0 1.002496 
0 44 4 15 11 69 89 22 155 32 45 0.482169 0 0 0 0 0 0 0 0 0 0 0 192.37 115872 36160 99% 19211 0 1.577350 
0 45 13 9 13 33 91 14 339 44 89 1.677081 0 0 0 0 0 0 0 0 0 0 0 37.06 56556 35984 99% 3934 0 1 
0 46 10 2 14 65 84 18 256 34 47 0.173798 0 0 0 0 0 0 0 0 0 0 0 1685.59 534276 38504 99% 165395 0 2.041146 
0 47 14 11 6 33 72 16 193 43 44 1.296693 0 0 0 0 0 0 0 0 0 0 0 537.39 297520 37400 99% 52858 0 1.465653 
0 48 14 7 6 23 93 16 195 37 62 1.682895 0 0 0 0 0 0 0 0 0 0 0 246.82 165108 36816 99% 24662 0 1.011260 
0 49 7 5 14 61 62 23 239 37 67 0.460925 0 0 0 0 0 0 0 0 0 0 0 531.33 290268 37416 99% 53044 0 1.118954 
0 50 3 2 12 50 87 10 82 38 54 0.617242 0 0 0 0 0 0 0 0 0 0 0 151.98 154188 36520 99% 15250 0 1.283635 
0 51 10 6 8 21 97 17 327 36 69 1.466133 0 0 0 0 0 0 0 0 0 0 0 475.65 218424 37016 99% 47249 0 1.033901 
0 52 11 2 8 66 85 18 185 31 31 0.526344 0 0 0 0 0 0 0 0 0 0 0 1918.06 689944 38664 99% 188537 0 2.265371 
0 53 10 3 2 28 85 6 352 38 90 1.954563 0 0 0 0 0 0 0 0 0 0 0 12.07 33488 35704 99% 1402 0 1.002918 
0 54 13 2 12 69 85 4 332 31 43 0.972237 0 0 0 0 0 0 0 0 0 0 0 31.69 52760 35872 99% 3482 0 1.041604 
0 55 15 12 10 63 93 11 316 42 31 1.520366 0 0 0 0 0 0 0 0 0 0 0 754.00 314216 37648 99% 74565 0 1.378358 
0 56 15 12 12 53 90 14 6 30 65 0.213427 0 0 0 0 0 0 0 0 0 0 0 149.42 123536 36216 99% 15038 0 1 
0 57 7 12 10 54 86 19 25 41 35 0.056021 0 0 0 0 0 0 0 0 0 0 0 2684.55 763192 38872 99% 264158 0 3.432042 
0 58 8 6 13 60 65 12 52 33 64 1.060354 0 0 0 0 0 0 0 0 0 0 0 140.78 120132 36224 99% 13988 0 1.056493 
0 59 13 14 8 41 76 1 350 36 64 0.425302 0 0 0 0 0 0 0 0 0 0 0 14.99 35524 35760 99% 2171 0 1 
0 60 2 8 9 37 94 7 252 40 85 1.525059 0 0 0 0 0 0 0 0 0 0 0 14.47 38516 35744 99% 1670 0 1.012598 
0 61 2 11 3 27 81 16 124 36 96 0.913077 0 0 0 0 0 0 0 0 0 0 0 109.12 87240 36608 99% 11254 0 1.040134 
0 62 6 14 8 23 66 5 340 47 51 0.800911 0 0 0 0 0 0 0 0 0 0 0 36.90 61552 35784 99% 3991 0 1.041194 
0 63 9 3 4 25 100 15 67 44 35 1.943679 0 0 0 0 0 0 0 0 0 0 0 1884.33 618848 38648 99% 185082 0 2.409497 
