# date=2019-03-17;scenarioFile=scenario_jonquera.ini;landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 18:00:00;EndDate=2019-07-23 12:00:00;hoursOfSimulation=18
generation individual p0 p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 runtime maxRSS outputs cpu csw exit error
0 0 2 3 12 52 91 16 145 33 61 1.718865 0 0 0 0 0 0 0 0 0 0 0 84.74 145824 36392 99% 9526 0 1.314004 
0 1 15 10 1 66 84 17 155 48 32 0.046063 0 0 0 0 0 0 0 0 0 0 0 494.38 338844 36888 99% 50431 0 2.236039 
0 2 10 2 14 33 89 20 17 30 53 0.598361 0 0 0 0 0 0 0 0 0 0 0 376.49 255172 36792 99% 38978 0 2.187431 
0 3 3 13 4 30 80 8 232 49 49 0.416760 0 0 0 0 0 0 0 0 0 0 0 41.74 62820 35920 99% 4911 0 1.128792 
0 4 6 14 13 48 69 11 70 41 41 1.418043 0 0 0 0 0 0 0 0 0 0 0 98.94 107996 36056 99% 11036 0 1.386567 
0 5 3 4 4 26 88 4 36 33 45 1.612439 0 0 0 0 0 0 0 0 0 0 0 9.70 30732 35672 99% 1790 0 1.046740 
0 6 13 3 4 62 77 9 18 32 85 1.266557 0 0 0 0 0 0 0 0 0 0 0 9.66 30456 35696 99% 2233 0 1.001242 
0 7 5 9 14 67 90 2 301 41 31 0.709687 0 0 0 0 0 0 0 0 0 0 0 21.58 43668 35720 99% 2749 0 1.037373 
0 8 9 9 1 55 62 26 188 49 70 1.382889 0 0 0 0 0 0 0 0 0 0 0 96.54 91844 36016 99% 10639 0 1.036059 
0 9 6 13 6 40 82 6 141 48 37 1.301231 0 0 0 0 0 0 0 0 0 0 0 31.59 53992 35792 99% 3561 0 1.109756 
0 10 12 13 0 62 95 19 144 42 52 0.184389 0 0 0 0 0 0 0 0 0 0 0 207.10 152856 36280 99% 21478 0 1.170758 
0 11 14 5 9 69 66 11 284 39 59 1.605369 0 0 0 0 0 0 0 0 0 0 0 35.02 57036 35800 99% 4155 0 1.073468 
0 12 4 4 1 25 90 6 152 46 80 0.704024 0 0 0 0 0 0 0 0 0 0 0 8.97 28712 35592 99% 1354 0 1.012972 
0 13 5 12 14 20 70 9 16 47 57 0.897691 0 0 0 0 0 0 0 0 0 0 0 26.86 52144 35736 99% 3192 0 1.115820 
0 14 6 4 4 46 71 12 183 41 53 0.057994 0 0 0 0 0 0 0 0 0 0 0 108.29 103296 36176 99% 11459 0 1.346675 
0 15 4 2 6 65 89 10 165 44 52 1.580846 0 0 0 0 0 0 0 0 0 0 0 86.73 91496 36160 99% 9697 0 1.302635 
0 16 4 5 14 52 74 10 13 45 69 0.752119 0 0 0 0 0 0 0 0 0 0 0 18.05 43684 35688 99% 2248 0 1.061014 
0 17 13 7 2 67 73 14 346 34 40 1.575520 0 0 0 0 0 0 0 0 0 0 0 255.11 180280 36568 99% 26137 0 1.671372 
0 18 9 13 6 30 64 2 149 30 76 0.371357 0 0 0 0 0 0 0 0 0 0 0 7.34 28124 35656 99% 1163 0 1.001603 
0 19 2 4 10 46 82 20 254 32 94 1.545643 0 0 0 0 0 0 0 0 0 0 0 155.84 116264 36208 99% 16595 0 1.077687 
0 20 11 12 5 65 81 7 125 32 60 1.476498 0 0 0 0 0 0 0 0 0 0 0 9.74 31632 35632 99% 1349 0 1.002966 
0 21 7 6 11 22 87 18 195 38 30 0.882177 0 0 0 0 0 0 0 0 0 0 0 992.71 407172 37472 99% 99116 0 2.285070 
0 22 5 14 8 47 98 9 134 43 99 0.228958 0 0 0 0 0 0 0 0 0 0 0 7.15 27380 35592 99% 1057 0 1.008150 
0 23 12 3 13 43 91 9 6 41 56 0.799451 0 0 0 0 0 0 0 0 0 0 0 33.91 57920 35832 99% 3788 0 1.144524 
0 24 10 2 1 29 77 13 117 49 39 1.924100 0 0 0 0 0 0 0 0 0 0 0 559.44 274720 37336 99% 56385 0 1.998168 
0 25 2 11 1 66 92 14 300 40 75 0.650395 0 0 0 0 0 0 0 0 0 0 0 22.19 46400 35776 99% 2530 0 1.068585 
0 26 5 8 6 70 78 21 270 40 98 1.210671 0 0 0 0 0 0 0 0 0 0 0 44.47 58048 35776 99% 5018 0 1.041424 
0 27 11 5 13 21 89 12 219 31 99 0.680963 0 0 0 0 0 0 0 0 0 0 0 14.27 36332 35672 99% 1784 0 1.003472 
0 28 5 7 9 42 96 21 93 43 38 0.500854 0 0 0 0 0 0 0 0 0 0 0 2232.30 651780 38072 99% 221900 0 2.617471 
0 29 11 6 8 66 68 20 283 47 69 1.313246 0 0 0 0 0 0 0 0 0 0 0 53.15 71656 35792 99% 5866 0 1.020724 
0 30 2 15 9 43 88 10 313 39 41 0.620459 0 0 0 0 0 0 0 0 0 0 0 79.95 90396 36112 99% 8613 0 1.274232 
0 31 15 3 10 61 70 14 199 41 37 0.217339 0 0 0 0 0 0 0 0 0 0 0 387.20 218896 37032 99% 39123 0 1.717353 
0 32 2 5 9 36 70 1 55 42 31 0.381117 0 0 0 0 0 0 0 0 0 0 0 21.91 44920 35776 99% 2623 0 1.039651 
0 33 10 12 11 54 71 22 20 48 52 1.855857 0 0 0 0 0 0 0 0 0 0 0 391.87 227580 36472 99% 39161 0 1.645055 
0 34 8 14 4 57 88 18 123 36 60 1.277311 0 0 0 0 0 0 0 0 0 0 0 78.74 92012 35832 99% 8205 0 1.042521 
0 35 10 2 6 31 95 4 294 45 50 1.705674 0 0 0 0 0 0 0 0 0 0 0 10.89 32700 35656 99% 1568 0 1.046077 
0 36 2 13 7 64 80 19 283 43 91 1.849472 0 0 0 0 0 0 0 0 0 0 0 23.40 43128 35792 99% 3237 0 1.049983 
0 37 7 10 4 70 68 10 275 50 52 1.331599 0 0 0 0 0 0 0 0 0 0 0 60.70 76928 35952 99% 6559 0 1.201090 
0 38 7 8 3 23 79 6 250 30 84 1.880975 0 0 0 0 0 0 0 0 0 0 0 7.91 28676 35592 99% 1064 0 1.005883 
0 39 10 2 12 57 77 10 265 36 74 0.990511 0 0 0 0 0 0 0 0 0 0 0 13.08 35344 35640 98% 1816 0 1.018735 
0 40 14 4 7 62 83 9 292 31 66 0.037218 0 0 0 0 0 0 0 0 0 0 0 13.15 35324 35712 99% 1719 0 1.000241 
0 41 11 11 4 44 64 28 326 42 66 0.270570 0 0 0 0 0 0 0 0 0 0 0 76.84 82696 35832 99% 8129 0 1.002556 
0 42 7 8 12 49 68 7 128 33 83 1.430464 0 0 0 0 0 0 0 0 0 0 0 8.65 28788 35592 99% 1079 0 1.007740 
0 43 9 6 0 26 63 3 4 48 84 1.717526 0 0 0 0 0 0 0 0 0 0 0 7.92 27032 35656 98% 1111 0 1.002496 
0 44 4 15 11 69 89 22 155 32 45 0.482169 0 0 0 0 0 0 0 0 0 0 0 192.19 116052 36232 99% 19594 0 1.577350 
0 45 13 9 13 33 91 14 339 44 89 1.677081 0 0 0 0 0 0 0 0 0 0 0 9.93 32064 35768 99% 1352 0 1 
0 46 10 2 14 65 84 18 256 34 47 0.173798 0 0 0 0 0 0 0 0 0 0 0 656.20 280832 37136 99% 66471 0 2.041146 
0 47 14 11 6 33 72 16 193 43 44 1.296693 0 0 0 0 0 0 0 0 0 0 0 264.60 177108 36528 99% 27055 0 1.465653 
0 48 14 7 6 23 93 16 195 37 62 1.682895 0 0 0 0 0 0 0 0 0 0 0 54.00 70588 35816 99% 5982 0 1.011260 
0 49 7 5 14 61 62 23 239 37 67 0.460925 0 0 0 0 0 0 0 0 0 0 0 258.85 166976 36432 99% 26655 0 1.118954 
0 50 3 2 12 50 87 10 82 38 54 0.617242 0 0 0 0 0 0 0 0 0 0 0 58.24 78192 35920 99% 6432 0 1.283635 
0 51 10 6 8 21 97 17 327 36 69 1.466133 0 0 0 0 0 0 0 0 0 0 0 41.49 64644 35784 99% 4454 0 1.033901 
0 52 11 2 8 66 85 18 185 31 31 0.526344 0 0 0 0 0 0 0 0 0 0 0 1152.81 454424 37512 99% 114270 0 2.265371 
0 53 10 3 2 28 85 6 352 38 90 1.954563 0 0 0 0 0 0 0 0 0 0 0 7.53 27312 35624 99% 983 0 1.002918 
0 54 13 2 12 69 85 4 332 31 43 0.972237 0 0 0 0 0 0 0 0 0 0 0 12.31 34128 35672 99% 1599 0 1.041604 
0 55 15 12 10 63 93 11 316 42 31 1.520366 0 0 0 0 0 0 0 0 0 0 0 240.92 162696 36392 99% 24575 0 1.378358 
0 56 15 12 12 53 90 14 6 30 65 0.213427 0 0 0 0 0 0 0 0 0 0 0 21.76 47612 35744 99% 2569 0 1 
0 57 7 12 10 54 86 19 25 41 35 0.056021 0 0 0 0 0 0 0 0 0 0 0 1067.70 420612 37640 99% 106520 0 3.432042 
0 58 8 6 13 60 65 12 52 33 64 1.060354 0 0 0 0 0 0 0 0 0 0 0 24.65 51268 35784 99% 2976 0 1.056493 
0 59 13 14 8 41 76 1 350 36 64 0.425302 0 0 0 0 0 0 0 0 0 0 0 8.11 28780 35696 99% 1305 0 1 
0 60 2 8 9 37 94 7 252 40 85 1.525059 0 0 0 0 0 0 0 0 0 0 0 7.68 29444 35600 99% 947 0 1.012598 
0 61 2 11 3 27 81 16 124 36 96 0.913077 0 0 0 0 0 0 0 0 0 0 0 18.48 41244 35712 99% 2122 0 1.040134 
0 62 6 14 8 23 66 5 340 47 51 0.800911 0 0 0 0 0 0 0 0 0 0 0 14.79 37732 35648 99% 1770 0 1.041194 
0 63 9 3 4 25 100 15 67 44 35 1.943679 0 0 0 0 0 0 0 0 0 0 0 1006.98 424300 37352 99% 100076 0 2.409497 
0 64 4 7 11 70 62 17 227 31 42 1.311649 0 0 0 0 0 0 0 0 0 0 0 399.86 216496 36824 99% 40398 0 2.015564 
0 65 6 13 2 26 70 17 60 49 72 1.170409 0 0 0 0 0 0 0 0 0 0 0 33.43 59044 35712 99% 3512 0 1.063160 
0 66 11 13 12 70 84 5 311 42 61 0.052134 0 0 0 0 0 0 0 0 0 0 0 8.35 29548 35648 99% 1143 0 1.005847 
0 67 12 6 12 55 98 4 353 43 82 0.047327 0 0 0 0 0 0 0 0 0 0 0 8.31 27916 35696 99% 1075 0 1.001037 
0 68 13 2 11 60 65 16 285 39 44 1.093664 0 0 0 0 0 0 0 0 0 0 0 851.66 316944 37352 99% 85029 0 2.016227 
0 69 2 5 9 49 99 11 69 43 88 1.322659 0 0 0 0 0 0 0 0 0 0 0 11.04 32816 35624 99% 1422 0 1.025329 
0 70 3 12 7 27 73 13 120 43 75 0.360511 0 0 0 0 0 0 0 0 0 0 0 20.43 43600 35704 99% 2369 0 1.054781 
0 71 6 5 7 41 78 15 19 39 60 0.585897 0 0 0 0 0 0 0 0 0 0 0 102.97 109024 36288 99% 10852 0 1.422988 
0 72 7 2 6 61 84 14 93 50 54 0.782156 0 0 0 0 0 0 0 0 0 0 0 225.75 168912 36488 99% 23051 0 1.817211 
0 73 9 10 10 48 99 9 278 31 46 1.492235 0 0 0 0 0 0 0 0 0 0 0 47.33 67212 35968 99% 5027 0 1.122185 
0 74 5 4 9 42 63 9 127 44 59 1.368545 0 0 0 0 0 0 0 0 0 0 0 38.08 60540 35792 99% 4102 0 1.156098 
0 75 8 15 5 31 80 7 145 34 89 0.678855 0 0 0 0 0 0 0 0 0 0 0 7.63 27608 35648 98% 1006 0 1.002146 
0 76 3 8 10 34 71 21 175 39 44 1.597207 0 0 0 0 0 0 0 0 0 0 0 621.48 312832 37128 99% 62615 0 2.115928 
0 77 12 8 8 62 68 13 349 34 95 1.895775 0 0 0 0 0 0 0 0 0 0 0 10.03 31764 35728 99% 1299 0 1.000446 
0 78 8 7 3 26 82 10 218 30 37 0.851592 0 0 0 0 0 0 0 0 0 0 0 117.10 109004 36144 99% 12534 0 1.299031 
0 79 2 10 5 31 77 14 185 44 94 0.351124 0 0 0 0 0 0 0 0 0 0 0 17.89 38792 35680 99% 2043 0 1.034202 
0 80 12 13 5 41 62 15 292 44 50 0.069283 0 0 0 0 0 0 0 0 0 0 0 162.40 126132 36160 99% 16921 0 1.253315 
0 81 2 15 3 38 71 24 43 36 89 0.667730 0 0 0 0 0 0 0 0 0 0 0 18.71 41640 35680 98% 2278 0 1.056891 
0 82 3 7 11 23 77 5 328 36 85 0.596846 0 0 0 0 0 0 0 0 0 0 0 7.34 27436 35592 99% 989 0 1.007511 
0 83 7 2 14 32 83 14 215 46 54 0.324930 0 0 0 0 0 0 0 0 0 0 0 214.09 148888 36824 99% 22305 0 1.529320 
0 84 3 7 15 33 83 15 42 32 58 1.799455 0 0 0 0 0 0 0 0 0 0 0 91.42 102724 36032 99% 9833 0 1.278186 
0 85 14 6 3 27 88 13 79 48 92 0.330396 0 0 0 0 0 0 0 0 0 0 0 10.31 32880 35712 99% 1278 0 1 
0 86 4 6 7 31 80 9 328 36 36 1.394058 0 0 0 0 0 0 0 0 0 0 0 103.32 103408 36216 99% 10944 0 1.324601 
0 87 7 11 12 24 90 6 60 32 49 0.722817 0 0 0 0 0 0 0 0 0 0 0 15.33 39952 35656 99% 1878 0 1.049899 
0 88 8 2 9 60 90 7 192 46 35 0.125999 0 0 0 0 0 0 0 0 0 0 0 76.17 87004 35944 99% 8275 0 1.199402 
0 89 14 11 10 37 65 6 350 39 73 0.048142 0 0 0 0 0 0 0 0 0 0 0 8.36 29212 35696 99% 1278 0 1 
0 90 6 9 5 21 93 19 188 49 39 1.875009 0 0 0 0 0 0 0 0 0 0 0 783.38 349208 37264 99% 78653 0 2.204164 
0 91 4 2 5 35 89 12 308 43 73 1.406495 0 0 0 0 0 0 0 0 0 0 0 21.22 46192 35736 99% 2413 0 1.074179 
0 92 9 7 2 43 79 12 266 31 43 0.953898 0 0 0 0 0 0 0 0 0 0 0 170.56 129812 36336 99% 17975 0 1.361407 
0 93 7 2 15 68 70 17 238 49 33 0.939019 0 0 0 0 0 0 0 0 0 0 0 1095.79 422564 37648 99% 110322 0 2.327265 
0 94 13 7 10 43 89 11 177 44 78 1.945515 0 0 0 0 0 0 0 0 0 0 0 10.83 32148 35712 96% 1789 0 1.000060 
