# date=2019-03-14;scenarioFile=scenario_jonquera.ini;landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 18:00:00;EndDate=2019-07-23 06:00:00;hoursOfSimulation=12
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 40 14 4 7 62 83 9 292 31 66 0.037218 0 0 0 0 0 0 0 0 0 0 0 5.31 23888 35648 99% 797 0 1.000241 
0 41 11 11 4 44 64 28 326 42 66 0.270570 0 0 0 0 0 0 0 0 0 0 0 4.22 23936 35592 99% 872 0 1.002556 
0 42 7 8 12 49 68 7 128 33 83 1.430464 0 0 0 0 0 0 0 0 0 0 0 4.38 24060 35552 99% 632 0 1.007740 
0 43 9 6 0 26 63 3 4 48 84 1.717526 0 0 0 0 0 0 0 0 0 0 0 5.20 23864 35608 99% 761 0 1.002496 
0 44 4 15 11 69 89 22 155 32 45 0.482169 0 0 0 0 0 0 0 0 0 0 0 49.74 62464 35872 99% 5206 0 1.577350 
0 45 13 9 13 33 91 14 339 44 89 1.677081 0 0 0 0 0 0 0 0 0 0 0 2.47 23680 232 99% 355 0 9999.990234 
0 46 10 2 14 65 84 18 256 34 47 0.173798 0 0 0 0 0 0 0 0 0 0 0 123.83 98604 36112 99% 12489 0 2.041146 
0 47 14 11 6 33 72 16 193 43 44 1.296693 0 0 0 0 0 0 0 0 0 0 0 46.07 61868 35912 99% 4710 0 1.465653 
0 48 14 7 6 23 93 16 195 37 62 1.682895 0 0 0 0 0 0 0 0 0 0 0 4.44 24240 35576 98% 561 0 1.011260 
0 49 7 5 14 61 62 23 239 37 67 0.460925 0 0 0 0 0 0 0 0 0 0 0 6.84 28944 35656 99% 897 0 1.118954 
0 50 3 2 12 50 87 10 82 38 54 0.617242 0 0 0 0 0 0 0 0 0 0 0 13.30 35720 35696 99% 1559 0 1.283635 
0 51 10 6 8 21 97 17 327 36 69 1.466133 0 0 0 0 0 0 0 0 0 0 0 6.16 25096 35576 99% 826 0 1.033901 
0 52 11 2 8 66 85 18 185 31 31 0.526344 0 0 0 0 0 0 0 0 0 0 0 361.71 206264 36544 99% 35759 0 2.265371 
0 53 10 3 2 28 85 6 352 38 90 1.954563 0 0 0 0 0 0 0 0 0 0 0 4.30 23824 35584 99% 627 0 1.002918 
0 54 13 2 12 69 85 4 332 31 43 0.972237 0 0 0 0 0 0 0 0 0 0 0 6.18 26016 35584 99% 920 0 1.041604 
