# jonquera scenario; 30 hours of prediction; ignition from central polygon; single core execution; scenario.ini: landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 12:00:00;EndDate=2019-07-23 18:30:00;hoursOfSimulation=30
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 40 14 4 7 62 83 9 292 31 66 0.037218 0 0 0 0 0 0 0 0 0 0 0 70.93 134164 36712 100% 7749 0 1.170396 
0 41 11 11 4 44 64 28 326 42 66 0.270570 0 0 0 0 0 0 0 0 0 0 0 683.04 523084 40456 100% 69569 0 2.421722 
0 42 7 8 12 49 68 7 128 33 83 1.430464 0 0 0 0 0 0 0 0 0 0 0 17.78 63492 36064 99% 2336 0 1.082485 
0 43 9 6 0 26 63 3 4 48 84 1.717526 0 0 0 0 0 0 0 0 0 0 0 5.74 36508 35760 99% 848 0 1.023521 
0 44 4 15 11 69 89 22 155 32 45 0.482169 0 0 0 0 0 0 0 0 0 0 0 1123.03 839148 40088 100% 112063 0 2.820261 
0 45 13 9 13 33 91 14 339 44 89 1.677081 0 0 0 0 0 0 0 0 0 0 0 52.61 108288 37520 99% 6532 0 1.166791 
0 46 10 2 14 65 84 18 256 34 47 0.173798 0 0 0 0 0 0 0 0 0 0 0 1462.33 834116 40048 100% 144010 0 2.439046 
0 47 14 11 6 33 72 16 193 43 44 1.296693 0 0 0 0 0 0 0 0 0 0 0 509.17 492308 38328 100% 51404 0 1.947353 
0 48 14 7 6 23 93 16 195 37 62 1.682895 0 0 0 0 0 0 0 0 0 0 0 287.82 326296 39104 100% 30448 0 1.602185 
0 49 7 5 14 61 62 23 239 37 67 0.460925 0 0 0 0 0 0 0 0 0 0 0 555.15 490952 40288 100% 56533 0 2.098363 
0 50 3 2 12 50 87 10 82 38 54 0.617242 0 0 0 0 0 0 0 0 0 0 0 214.26 273680 37304 100% 21805 0 1.573407 
0 51 10 6 8 21 97 17 327 36 69 1.466133 0 0 0 0 0 0 0 0 0 0 0 533.85 431100 40808 100% 55447 0 2.411752 
0 52 11 2 8 66 85 18 185 31 31 0.526344 0 0 0 0 0 0 0 0 0 0 0 3268.94 1772132 40072 99% 324759 0 2.647008 
0 53 10 3 2 28 85 6 352 38 90 1.954563 0 0 0 0 0 0 0 0 0 0 0 10.16 45656 35872 88% 1748 0 1.052394 
0 54 13 2 12 69 85 4 332 31 43 0.972237 0 0 0 0 0 0 0 0 0 0 0 57.60 128056 36272 99% 7521 0 1.066512 
